Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits
RESIDENTIAL CARE ELDERLY,306000258,AUTUMN GROVE CARE HOME,"O'CONNELL, PATRICIA KAY","O'CONNELL, PATRICIA KAY",(714) 998-7365,616 EAST GROVE AVENUE,ORANGE,CA,92865,ORANGE,22,6,LICENSED,11/29/95,,9/29/16,2,0,2,4
RESIDENTIAL CARE ELDERLY,336423366,AUTUMN HILL,"AUTUMN HILL, LLC",CECILIA BARNA,(951) 543-4288,11002 CLEVELAND AVE,RIVERSIDE,CA,92503,RIVERSIDE,18,6,LICENSED,4/17/08,,4/25/13,1,0,0,1
RESIDENTIAL CARE ELDERLY,107206859,AUTUMN HILLS GUEST HOME,"COO'S ARF, LLC","PERKINS, VIVIENNE",(559) 453-1446,5466 E. BELMONT AVENUE,FRESNO,CA,93727,FRESNO,24,6,LICENSED,1/28/15,,8/25/16,1,1,8,10
RESIDENTIAL CARE ELDERLY,197606938,"AUTUMN HILLS RESIDENTIAL HOME, INC.","AUTUMN HILLS RESIDENTIAL HOME, INC.",AUGUSTINE KEHINDE,(661) 943-8194,43129 LEMONWOOD DRIVE,LANCASTER,CA,93536,LOS ANGELES,31,6,LICENSED,4/19/07,,9/6/13,1,1,1,3
RESIDENTIAL CARE ELDERLY,496801119,AUTUMN HOUSE,"WILSON-WOLTERING, M. CHRISTINE & ETTLIN, HANS","HANS, ETTLIN",(707) 836-7751,8615 WINDSOR PARK CIRCLE,WINDSOR,CA,95492,SONOMA,21,6,CLOSED,5/31/02,4/1/16,4/22/16,2,1,4,7
RESIDENTIAL CARE ELDERLY,347004047,AUTUMN HOUSE,"MATSON, ANGELA","MATSON, ANGELA",(916) 991-8676,2520 ZUIDER ZEE CIR,ELVERTA,CA,95626,SACRAMENTO,27,6,CLOSED,7/22/08,9/17/12,12/12/08,0,0,2,2
RESIDENTIAL CARE ELDERLY,565800841,"AUTUMN MANOR, LLC","AUTUMN MANOR, LLC","RAMIN, ALVIN",(805) 582-2188,2770 HIGHGATE PL.,SIMI VALLEY,CA,93065,VENTURA,31,6,LICENSED,1/29/02,,5/26/16,2,0,1,3
RESIDENTIAL CARE ELDERLY,565800976,"AUTUMN MANOR, LLC #2","AUTUMN MANOR, LLC",GIOVANNI FULGENTES,(805) 526-8629,2365 KENTFIELD ST.,SIMI VALLEY,CA,93065,VENTURA,31,6,LICENSED,5/28/03,,11/8/16,1,2,2,5
RESIDENTIAL CARE ELDERLY,565801486,"AUTUMN MANOR, LLC #3","AUTUMN MANOR, LLC.",CHRISTOPHER FULGENTES,(805) 527-8281,2747 ATHERWOOD AVENUE,SIMI VALLEY,CA,93065,VENTURA,31,6,LICENSED,7/13/07,,9/12/13,1,0,0,1
RESIDENTIAL CARE ELDERLY,306001011,AUTUMN MEADOWS,"AUTUMN MEADOWS, INC.",MARY REULAND,(949) 249-8033,29751 ANA MARIA,LAGUNA NIGUEL,CA,92677,ORANGE,22,6,LICENSED,11/19/99,,10/26/16,3,0,6,9
RESIDENTIAL CARE ELDERLY,306001331,AUTUMN MEADOWS II,"AUTUMN MEADOWS, INC.","REULAND, MARY",(949) 249-4995,25875 VIA VIENTO,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,5/14/01,,4/8/16,2,0,8,10
RESIDENTIAL CARE ELDERLY,306004584,AUTUMN MEADOWS III,"AUTUMN MEADOWS III, INC.",WILLIAM MAGSINO,(949) 249-4995,25011 MONTE VERDE,LAGUNA NIGUEL,CA,92677,ORANGE,22,6,LICENSED,9/30/13,,10/26/16,2,0,4,6
RESIDENTIAL CARE ELDERLY,547203298,AUTUMN OAKS,"R & O MANAGEMENT SERVICES, INC.","SMITH, PAIGE LEANNE",(559) 784-4144,848 N. JAYE STREET,PORTERVILLE,CA,93257,TULARE,24,44,LICENSED,7/24/07,,12/28/16,2,19,14,35
RESIDENTIAL CARE ELDERLY,107206271,AUTUMN RIDGE ASSISTED LIVING,TRINITY RETIRE.SERV.INC&RICH.JENNINGS GP OF A.R.LP,"HUNT, STEVEN",(559) 842-7727,14280 W. STANISLAUS STREET,KERMAN,CA,93630,FRESNO,24,34,LICENSED,8/18/09,,3/30/15,2,1,32,35
RESIDENTIAL CARE ELDERLY,374603501,AUTUMN VILLAS ON HONORS DRIVE,"AUTUMN VILLAS, LLC",KENDRA COLE,(858) 750-2021,5874 HONORS DRIVE,SAN DIEGO,CA,92122,SAN DIEGO,8,6,LICENSED,9/23/14,,8/7/14,0,0,2,2
RESIDENTIAL CARE ELDERLY,197607692,"AUTUMN WIND, THE","JM & CRISS ELDERLY CARE, LLC.",CRISTINA CRISS,(909) 621-4848,1731 SHENANDOAH DRIVE,CLAREMONT,CA,91711,LOS ANGELES,28,6,CLOSED,4/29/09,12/8/12,6/28/11,0,0,0,0
RESIDENTIAL CARE ELDERLY,198601719,"AUTUMN WIND, THE",JM & CRISS ELDERLY CARE  LLC,CRISTINA CRISS,(909) 741-7703,665 MOUNT CARMEL DRIVE,CLAREMONT,CA,91711,LOS ANGELES,28,6,LICENSED,10/3/13,,11/18/16,0,2,5,7
RESIDENTIAL CARE ELDERLY,306004228,AUTUMN YEARS AT NEWPORT MESA,"WEST COAST SENIOR CARE CONSULTING, INC.",SHERI BRUEMMER,(949) 629-1020,2891 BEAR STREET,COSTA MESA,CA,92626,ORANGE,22,40,CLOSED,12/17/10,6/1/14,12/5/13,0,0,0,0
RESIDENTIAL CARE ELDERLY,565801719,AUTUMN YEARS AT OJAI,"ALLIED SENIOR CALIFORNIA, LLC",DEIRDRE DALY,(805) 649-5143,158 ROCKAWAY ROAD,OAK VIEW,CA,93022,VENTURA,29,56,CLOSED,2/8/12,9/3/15,12/16/13,0,5,5,10
RESIDENTIAL CARE ELDERLY,19200549,AVA BELLA CARE HOME,AVABELLA CARE HOME LLC,JOSEPHINE T. SANTOS,(510) 324-0444,2483 BALMORAL STREET,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,1/30/16,,12/4/15,0,0,2,2
RESIDENTIAL CARE ELDERLY,374603012,AVAIRA MANOR,"AVAIRA MANOR, LLC","PALLASCH, CECILIA",(760) 814-2438,1683 FISHERMAN DRIVE,CARLSBAD,CA,92011,SAN DIEGO,8,6,CLOSED,3/23/11,9/5/12,3/8/11,0,0,0,0
RESIDENTIAL CARE ELDERLY,515002394,AVALINDA ASSISTED LIVING,HEATHER NEEVES,ESMERALDA PAGADUAN,(530) 755-1298,3756 LIBBY LANE,YUBA CITY,CA,95991,SUTTER,25,6,CLOSED,8/30/11,9/13/13,8/25/11,0,0,0,0
RESIDENTIAL CARE ELDERLY,486801597,AVALON CARE HOME,"ATWAL, GURPREET AND PRITPAL","ATWAL, PRITPAL",(707) 386-1042,2630 ORCHID ST.,FAIRFIELD,CA,94533,SOLANO,21,6,CLOSED,2/11/05,12/3/15,12/3/15,3,1,1,5
RESIDENTIAL CARE ELDERLY,486803392,AVALON CARE HOME II,"ATWAL, GURPREET S. & ATWAL, PRITPAL K.","ATWAL, PRITPAL K.",(707) 386-1042,5082 RASMUSSEN WAY,FAIRFIELD,CA,94533,SOLANO,21,6,LICENSED,7/16/12,,7/14/16,4,0,1,5
RESIDENTIAL CARE ELDERLY,306004552,AVALON GUEST MANOR I,"ST.LUKES CARE CENTERS, INC.",EDWIN CINCO,(714) 869-3523,1857 SHEDDON STREET,FULLERTON,CA,92833,ORANGE,22,6,LICENSED,6/21/13,,10/11/16,3,0,8,11
RESIDENTIAL CARE ELDERLY,306004638,AVALON GUEST MANOR II,"ST. LUKE'S CARE CENTER, INC.",ELIZABETH WOOD,(714) 779-2862,18600 OAKLAWN LANE,YORBA LINDA,CA,92886,ORANGE,22,6,LICENSED,3/14/14,,9/29/16,2,0,4,6
RESIDENTIAL CARE ELDERLY,157206896,"AVALON HOME CARE, LLC","AVALON HOME CARE, LLC","ZAMORA-HUSE, GLENICE JOY",(760) 668-9721,209 E BENSON AVE,RIDGECREST,CA,93555,KERN,24,6,LICENSED,2/11/15,,6/11/15,0,2,6,8
RESIDENTIAL CARE ELDERLY,374601793,AVALON PALMS,"AVALON PALMS, INC","BARFIELD, JULIANA",(858) 775-5918,3271 INNUIT AVE,SAN DIEGO,CA,92117,SAN DIEGO,8,6,LICENSED,4/9/04,,4/12/16,1,0,0,1
RESIDENTIAL CARE ELDERLY,197608999,AVALON VIEW HOMES INC,AVALON VIEW HOMES INC,"CASIM, CARLOS P",(805) 320-4200,16601 COHASSET STREET,LAKE BALBOA,CA,91406,LOS ANGELES,31,6,LICENSED,11/23/16,,10/17/16,0,0,2,2
RESIDENTIAL CARE ELDERLY,197608080,AVANTGARDE OF TARZANA ALZHEIMER'S LIVING,AVANTEGARDE SENIOR LIVING,ERIN MAHONEY,(818) 881-0055,5647 LINDLEY AVENUE,TARZANA,CA,91356,LOS ANGELES,31,22,LICENSED,1/27/11,,1/21/16,1,0,0,1
RESIDENTIAL CARE ELDERLY,197608081,AVANTGARDE SENIOR LIVING OF TARZANA,AVANTEGARDE SENIOR LIVING,ERIN MAHONEY,(818) 881-0055,5645 LINDLEY AVENUE,TARZANA,CA,91356,LOS ANGELES,31,98,LICENSED,1/27/11,,4/14/16,1,8,5,14
RESIDENTIAL CARE ELDERLY,336425030,AVATAR RETIREMENT HOME,YOLANDA ALKAWASS,JAMAL ALKAWASS,(760) 340-5191,44645 SAN ONOFRE AVENUE,PALM DESERT,CA,92260,RIVERSIDE,18,6,LICENSED,6/23/11,,9/14/16,1,1,2,4
RESIDENTIAL CARE ELDERLY,421703043,AVE'S BOARD AND CARE,"AVE, LINDA","AVE, LINDA",(805) 937-4925,111 CRESCENT AVE,SANTA MARIA,CA,93455,SANTA BARBARA,29,6,LICENSED,3/11/85,,10/27/15,1,0,2,3
RESIDENTIAL CARE ELDERLY,275294335,AVE MARIA RCFE #1,AVE MARIA CONVALESCENT HOSPITAL INC,"BARBARA REID, RN, MHSA",(831) 373-1216,1249 JOSSELYN CANYON ROAD,MONTEREY,CA,93940,MONTEREY,26,12,LICENSED,12/21/09,,3/10/14,2,0,0,2
RESIDENTIAL CARE ELDERLY,275294336,AVE MARIA RCFE #2,AVE MARIA CONVALESCENT HOSPITAL INC,"BARBARA REID, RN, MHSA",(831) 373-1216,1257 JOSSELYN CANYON ROAD,MONTEREY,CA,93940,MONTEREY,26,9,LICENSED,12/21/09,,3/10/14,2,0,0,2
RESIDENTIAL CARE ELDERLY,197602507,AVE OF THE BELLS,RESEDA HOME FOR THE ELDERLY INC.,"KAHROS, ATHINA",(818) 340-4652,5826 JUMILLA AVE.,WOODLAND HILLS,CA,91367,LOS ANGELES,31,6,LICENSED,11/8/99,,11/16/16,4,4,8,16
RESIDENTIAL CARE ELDERLY,486800091,AVELINA FRANCISCA CARE HOME II,"BAYLEN, FLORES","BAYLEN, FLORES",(707) 645-1444,107 SANDPIPER DRIVE,VALLEJO,CA,94589,SOLANO,21,6,LICENSED,11/14/94,,12/29/15,2,4,0,6
RESIDENTIAL CARE ELDERLY,486800661,AVELINA FRANCISCA CARE HOME IV,"BAYLEN, EFREN B. & FLORES C.",FLORES BAYLEN,(707) 557-5558,129 PACER DRIVE,VALLEJO,CA,94591,SOLANO,21,6,CLOSED,10/26/98,6/8/16,5/26/16,1,0,2,3
RESIDENTIAL CARE ELDERLY,486801980,AVELINA FRANCISCA CARE HOME #3,"BAYLEN, FLORES","BAYLEN, FLORES & RACHEL",(707) 425-1929,2211 SANTA FE COURT,FAIRFIELD,CA,94533,SOLANO,21,5,LICENSED,6/12/08,,12/20/16,4,1,1,6
RESIDENTIAL CARE ELDERLY,198205191,AVENIDA VILLA,"SERENITY VILLA, INC.",ARNIE ESPIRTU,(310) 548-1100,1803 AVENIDA FELICIANO,RANCHO PALOS VERDES,CA,90275,LOS ANGELES,28,6,CLOSED,4/10/07,12/12/12,8/28/12,0,0,1,1
RESIDENTIAL CARE ELDERLY,197608379,"AVENIDA VILLA, INC.","AVENIDA VILLA, INC.",MIQUEL AGATEP,(310) 930-6455,1803 AVENIDA FELICIANO,RANCHO PALOS VERDES,CA,90275,LOS ANGELES,28,6,LICENSED,12/12/12,,9/4/15,0,0,3,3
RESIDENTIAL CARE ELDERLY,198205345,AVENUE E GUEST HOME,"BORACAY HOME CARE SERVICES, LLC",GRACE DE GUZMAN,(310) 539-9414,402 AVENUE E,REDONDO BEACH,CA,90277,LOS ANGELES,28,6,LICENSED,5/22/07,,1/28/14,1,0,1,2
RESIDENTIAL CARE ELDERLY,306004730,"AVIDA CARES, INC.","AVIDA CARES, INC.",NORMA HERMOGENES,(714) 588-5604,11642 DALE STREET,GARDEN GROVE,CA,92841,ORANGE,22,6,CLOSED,,10/21/15,,0,0,0,0
RESIDENTIAL CARE ELDERLY,75601502,AVIGNON CHATEAU,"AVIGNON CHATEAU, INC.","JIRJIS, VIRGINIA C.",(925) 560-9789,126 LONDON COURT,SAN RAMON,CA,94582,CONTRA COSTA,15,6,LICENSED,2/2/10,,1/12/15,1,0,0,1
RESIDENTIAL CARE ELDERLY,374603463,AVITA ASSISTED LIVING,DY CAPITAL LLC,"DY, ORLANDO",(619) 988-5505,9312 TWIN MOUNTAIN CIRCLE,SAN DIEGO,CA,92126,SAN DIEGO,8,6,CLOSED,,3/23/15,,0,0,0,0
RESIDENTIAL CARE ELDERLY,374602565,AVOCADO CREEK,"AVOCADO CREEK, INC.",MARIJA BANOVIC,(760) 294-9590,1080 AVOCADO AVE,ESCONDIDO,CA,92026,SAN DIEGO,8,12,LICENSED,11/8/07,,12/15/15,1,6,2,9
RESIDENTIAL CARE ELDERLY,374603317,AVOCADO GARDENS,SHARI M. KREVITZ MD INC,MATTHEW WADDON,(858) 345-0131,1159 SAXONY ROAD,ENCINITAS,CA,92024,SAN DIEGO,8,6,CLOSED,4/19/13,9/28/15,3/7/13,0,0,2,2
RESIDENTIAL CARE ELDERLY,374603686,AVOCADO GARDENS,MATTHEW C WADDON INC.,MATTHEW C. WADDEN,(760) 944-2823,1159 SAXONY ROAD,ENCINITAS,CA,92024,SAN DIEGO,8,6,LICENSED,9/28/15,,7/13/16,1,0,1,2
RESIDENTIAL CARE ELDERLY,306002048,AVONDALE FAMILY CARE HOME,"NAVARRA, MARIA TERESA",MARIA TERESA NAVARRA,(949) 481-8554,3120 INCLINADO,SAN CLEMENTE,CA,92673,ORANGE,22,6,LICENSED,9/3/03,,1/30/15,2,0,0,2
RESIDENTIAL CARE ELDERLY,306002969,AVONDALE FAMILY CARE HOME II,"NAVARRA, MARIA TERESA",MARIA TERESA NAVARRA,(949) 429-7818,3129 INCLINADO,SAN CLEMENTE,CA,92673,ORANGE,22,6,LICENSED,8/4/05,,6/2/16,2,1,0,3
RESIDENTIAL CARE ELDERLY,374600108,AWARD MANOR,YAWEH RHEMA CORPORATION,CLIFFORD HATCH,(619) 263-9075,1966 PARADISE STREET,SAN DIEGO,CA,92114,SAN DIEGO,8,8,CLOSED,12/20/94,8/4/15,6/10/15,1,0,1,2
RESIDENTIAL CARE ELDERLY,107200993,AWESOME CARE,"POSHOTIAN, GAIANE","POSHOTIAN, GAIANE",(559) 447-9066,1424 W. ROBERTS AVENUE,FRESNO,CA,93711,FRESNO,24,6,LICENSED,6/12/00,,6/15/15,1,0,0,1
RESIDENTIAL CARE ELDERLY,197604374,AYRES RESIDENTIAL CARE HOME,MICHAEL GABAI,ANTANINA REMEIKIENE,(310) 475-6484,10862 WELLWORTH AVE,LOS ANGELES,CA,90024,LOS ANGELES,31,6,LICENSED,3/28/03,,12/28/16,3,0,0,3
RESIDENTIAL CARE ELDERLY,197601334,AYRES RESIDENTIAL CARE HOME,"GABAI, MICHAEL","GABAI, MICHAEL",(310) 475-6484,10940 AYRES AVE.,LOS ANGELES,CA,90064,LOS ANGELES,31,6,LICENSED,8/18/97,,11/10/16,3,2,1,6
RESIDENTIAL CARE ELDERLY,197602934,AYRES RESIDENTIAL CARE HOME-CENTURY CITY,MICHAEL GABAI,MICHAEL GABAI,(310) 475-6484,10363 CALVIN AVE,LOS ANGELES,CA,90025,LOS ANGELES,31,6,LICENSED,8/4/00,,12/30/14,2,0,0,2
RESIDENTIAL CARE ELDERLY,547206696,AYSON'S GOLDEN TLC ELDERLY CARE HOME,FRENALYNE AYSON,"AYSON, FRENALYNE",(559) 802-3513,3933 S. PARKWOOD ST.,VISALIA,CA,93277,TULARE,24,6,CLOSED,6/26/13,7/2/14,7/21/15,0,0,3,3
RESIDENTIAL CARE ELDERLY,347004512,"AZALEA RETIREMENT HOME, LLC","AZALEA RETIREMENT HOME, LLC",REGINA GARCIA,(916) 903-7448,7400 WALNUT ROAD,FAIR OAKS,CA,95628,SACRAMENTO,27,6,CLOSED,6/4/10,10/17/12,10/15/12,1,0,1,2
RESIDENTIAL CARE ELDERLY,197608415,AZAR GARDEN,"AZAR GARDEN, INC.",VAFA ANSARI,(818) 263-0541,19230 HATTERAS STREET,TARZANA,CA,91356,LOS ANGELES,31,6,LICENSED,8/2/13,,3/13/13,0,0,1,1
RESIDENTIAL CARE ELDERLY,366411985,AZURE HILLS HOME CARE,"MPM CARE HOMES, INC.",CHARLES MCCONNELL,(909) 422-0623,22461 DESOTO STREET,GRAND TERRACE,CA,92313,SAN BERNARDINO,18,6,CLOSED,5/8/06,3/1/16,9/5/14,0,1,3,4
RESIDENTIAL CARE ELDERLY,331800003,AZZUR ASSISTED LIVING LLC,"AZZUR ASSISTED LIVING,LLC","TIJING, JENNILYN",(951) 654-7110,397 E MAIN STREET,SAN JACINTO,CA,92583,RIVERSIDE,18,24,LICENSED,4/25/16,,9/22/16,0,0,6,6
RESIDENTIAL CARE ELDERLY,134603706,"A&A COTTAGE VIEW ASSISTED LIVING,INC.","A&A COTTAGE VIEW ASSISTED LIVING,INC.","ZADEH, AKBAR",(714) 402-5920,103 S HASKELL DRIVE,EL CENTRO,CA,92243,IMPERIAL,8,9,LICENSED,5/26/16,,2/19/16,0,0,2,2
RESIDENTIAL CARE ELDERLY,306004758,A&B AT HOME HEALTH HOME CARE FACILITY RCFE,"BRAIDEIN & AUSTINE HEALTH HOME CARE FACILITY,LLC",JOIEY WSAA J. ONG,(949) 705-6432,24116 JUANENO DRIVE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,6/18/15,,12/9/16,1,0,7,8
RESIDENTIAL CARE ELDERLY,336426703,A&E CARE,"ARS CARE INDUSTRIES, INC.","SANCHEZ, EDUARDO",(209) 356-5582,14446 SERENADE DR.,EASTVALE,CA,92880,RIVERSIDE,18,6,CLOSED,,5/13/15,,0,0,0,0
RESIDENTIAL CARE ELDERLY,486803318,A&J ELDERLY CARE HOME,"ELDRIDGE, ANGELA & JAWAN","ELDRIDGE, ANGELA & JAWAN",(707) 648-1545,1218 CORONEL AVE,VALLEJO,CA,94591,SOLANO,21,5,CLOSED,11/29/11,5/21/13,5/21/13,1,0,2,3
RESIDENTIAL CARE ELDERLY,336426437,A+ SENIOR CARE AT MISSION LAKES,DANIEL SAFT,JACOB SENORON,(760) 298-8015,64635 PICARD COURT,DESERT HOT SPRINGS,CA,92240,RIVERSIDE,18,6,LICENSED,10/27/15,,8/18/15,0,0,2,2
RESIDENTIAL CARE ELDERLY,306001939,A.C.E. ADVANCED CARE FOR ELDERLY,GEORGETA ARDELEANU,MONICA CHILINTAN,(714) 926-4902,2400 TRYON AVE.,ANAHEIM,CA,92806,ORANGE,22,6,LICENSED,9/29/03,,9/28/16,3,0,0,3
RESIDENTIAL CARE ELDERLY,347003991,A.R.C. MANOR OF FOLSOM,"MURAR, GETA","MURAR, GETA",(916) 458-6447,328 CROW CANYON DR,FOLSOM,CA,95630,SACRAMENTO,27,6,LICENSED,7/10/08,,9/1/16,2,0,0,2
RESIDENTIAL CARE ELDERLY,336411972,A.S.A.P. CAREGIVERS FACILITY,"CABACUNGAN, MARILOU J.","CABACUNGAN, MARILOU",(760) 992-5009,30558 KENWOOD DRIVE,CATHEDRAL CITY,CA,92234,RIVERSIDE,18,6,CLOSED,2/3/06,2/3/15,1/22/15,1,0,0,1
RESIDENTIAL CARE ELDERLY,11440861,B-N RESIDENTIAL CARE HOME,"BAUTISTA, ALEJANDRIA N. & ROMULO S.","BAUTISTA, ALEJANDRIA N.",(510) 471-6229,4801 MICHELLE WAY,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,11/18/91,,12/15/16,1,1,1,3
RESIDENTIAL CARE ELDERLY,286803457,B HOME ASSISTED LIVING AT PARRETT,"B HOME ASSISTED LIVING, LLC",MARK GASSTER,(707) 254-9002,3679 PARRETT AVENUE,NAPA,CA,94558,NAPA,21,6,CLOSED,9/24/13,6/10/16,11/10/15,1,0,2,3
RESIDENTIAL CARE ELDERLY,286803429,B HOME ASSISTED LIVING AT SEQUOIA,B HOME ASSISTED LIVING AT SEQUOIA,"BUSBY, DAVID",(707) 252-4663,1691 SEQUOIA STREET,NAPA,CA,94558,NAPA,21,6,CLOSED,4/22/13,8/22/14,8/22/14,1,0,2,3
RESIDENTIAL CARE ELDERLY,19200436,B STREET MANOR ASSISTED LIVING,"POUR, JOHNNY","POUR, JOHNNY",(510) 410-8974,1344 B STREET,HAYWARD,CA,94541,ALAMEDA,15,6,CLOSED,,6/1/13,5/8/13,0,0,4,4
RESIDENTIAL CARE ELDERLY,19200680,B STREET MANOR ASSISTED LIVING,"POUR, JOHHNY, BESHARATPOUR, HULYNNE","POUR, JOHNNY",(510) 410-8974,1344 B STREET,HAYWARD,CA,94541,ALAMEDA,15,6,PENDING,,,,0,0,0,0
RESIDENTIAL CARE ELDERLY,15601458,B & B CARE HOME,"BAUTISTA, JENNIFER","BAUTISTA, JENNIFER",(510) 489-2755,2588 LAMBERT COURT,UNION CITY,CA,94587,ALAMEDA,15,4,CLOSED,8/30/10,8/16/14,8/20/15,1,0,0,1
RESIDENTIAL CARE ELDERLY,415600448,"B & B CARE HOME, INC.","B & B CARE HOME, INC.","BULJAN, ANKA",(650) 574-2918,52 W. 39TH AVENUE,SAN MATEO,CA,94403,SAN MATEO,14,6,LICENSED,5/1/04,,6/22/15,2,0,0,2
RESIDENTIAL CARE ELDERLY,415600698,"B & B CARE HOME, INC. #2","B & B CARE HOME, INC.","BULJAN, ANKA",(650) 525-1770,48 W. 39TH AVENUE,SAN MATEO,CA,94403,SAN MATEO,14,6,LICENSED,3/20/07,,3/21/14,2,0,0,2
RESIDENTIAL CARE ELDERLY,410508402,B & B RESIDENTIAL FACILITIES,"B&B RESIDENTIAL FACILITIES, INC.","BULJAN, ANTE & SLAVA",(650) 570-5124,13 W. 38TH AVENUE,SAN MATEO,CA,94403,SAN MATEO,14,6,LICENSED,7/10/87,,6/22/15,2,1,0,3
RESIDENTIAL CARE ELDERLY,415600657,"B & B RESIDENTIAL FACILITIES, INC.","B&B RESIDENTIAL FACILITIES, INC.","BULJAN, ANTE",(650) 345-4095,3824 BERESFORD STREET,SAN MATEO,CA,94403,SAN MATEO,14,6,LICENSED,7/5/05,,5/12/14,1,0,0,1
RESIDENTIAL CARE ELDERLY,410508727,"B & B RESIDENTIAL FACILITIES, INC.","B & B RESIDENTIAL FACILITIES, INC.",SLAVA AND ANTE BULJAN,(650) 345-6580,15 W. 38TH AVENUE,SAN MATEO,CA,94403,SAN MATEO,14,7,LICENSED,12/17/90,,9/17/15,3,1,1,5
RESIDENTIAL CARE ELDERLY,410505763,B & B RESIDENTIAL FACILITY,"B & B RESIDENTIAL FACILITIES, INC.","BULJAN, ANTE AND SLAVA",(650) 574-0439,39 W. 38TH AVENUE,SAN MATEO,CA,94403,SAN MATEO,14,6,LICENSED,3/23/85,,10/27/16,2,2,2,6
RESIDENTIAL CARE ELDERLY,410508315,B & B RESIDENTIAL FACILITY,"B & B RESIDENTIAL FACILITIES, INC.","BULJAN, SLAVA",(650) 341-2564,92 WEST 41ST AVENUE,SAN MATEO,CA,94403,SAN MATEO,14,6,LICENSED,9/29/87,,8/17/16,2,1,1,4
RESIDENTIAL CARE ELDERLY,198602066,BABY BOOMERS IN HOME CARE,"BABY BOOMERS IN HOME COMPANIONS, LLC",LAUREANA B. SOMODIO,(424) 731-6352,21202 S. DOBLE AVENUE,TORRANCE,CA,90502,LOS ANGELES,28,6,CLOSED,,6/23/15,,0,0,0,0
RESIDENTIAL CARE ELDERLY,306004020,BACK TO EDEN CARE HOME,"LEE, MI SOOK",MI SOOK LEE,(213) 503-6620,1927 W. CHATEAU AVENUE,ANAHEIM,CA,92804,ORANGE,22,6,CLOSED,1/27/09,1/22/15,1/13/15,2,0,8,10
RESIDENTIAL CARE ELDERLY,374602805,"BACK TO EDEN HOMES, LLC","BACK TO EDEN HOMES,LLC","BELL, RACHEL",(760) 732-1404,31089 OLD RIVER ROAD,BONSALL,CA,92003,SAN DIEGO,8,4,LICENSED,1/8/09,,11/3/16,4,1,11,16
RESIDENTIAL CARE ELDERLY,107206937,BACKER SENIOR CAREHOME,JMJ CARESERVICES LLC,"BAUTISTA, ARLENE",(559) 721-5483,9127 N BACKER AVE,FRESNO,CA,93720,FRESNO,24,6,LICENSED,9/26/16,,3/30/16,0,0,2,2
RESIDENTIAL CARE ELDERLY,374601909,"BADUA'S, THE","BADUA, RONILIO",AZILA ORTIZ,(858) 621-8791,10265 SALUDA AVE,SAN DIEGO,CA,92126,SAN DIEGO,8,6,CLOSED,7/7/05,2/26/14,1/24/14,0,3,2,5
RESIDENTIAL CARE ELDERLY,306002562,BAKER HOME CARE,CORINA TALOS,CORINA TALOS,(714) 699-1576,501 S. BAKER,ANAHEIM,CA,92804,ORANGE,22,4,CLOSED,12/13/04,5/3/13,4/30/13,1,0,1,2
RESIDENTIAL CARE ELDERLY,157206553,BAKERSFIELD ASSISTED LIVING,"BAKERSFIELD ASSISTED LIVING, INC.","BRIZUELA, PAULA MARIBEL",(661) 873-1595,2603 MOUNT VERNON AVENUE,BAKERSFIELD,CA,93306,KERN,24,49,CLOSED,,9/4/12,,0,0,0,0
RESIDENTIAL CARE ELDERLY,157206849,BALANCE RESIDENTIAL CARE CORP II,BALANCE RESIDENTIAL CARE CORPORATION,VICTORIA V. BICERA,(661) 665-4665,10125 ST. ALBANS AVE,BAKERSFIELD,CA,93311,KERN,24,6,LICENSED,9/12/14,,8/8/14,0,0,1,1
RESIDENTIAL CARE ELDERLY,157202507,BALANCE RESIDENTIAL CARE CORPORATION,BALANCE RESIDENTIAL CARE CORPORATION,"BICERA, VICTORIA",(661) 665-0535,9802 VERTRICE AVE.,BAKERSFIELD,CA,93311,KERN,24,6,LICENSED,9/1/11,,5/23/16,1,0,2,3
RESIDENTIAL CARE ELDERLY,300606338,BALBOA ISLAND BOARD & CARE,"BALBOA ISLAND BOARD & CARE, INC","BARTON, CYNTHIA G.",(949) 673-8589,300 APOLENA,BALBOA ISLAND,CA,92662,ORANGE,22,4,LICENSED,2/18/87,,10/18/16,1,4,4,9
RESIDENTIAL CARE ELDERLY,336424157,BALCOM CARE HOME,IMELDA B. CRISTAL,IMELDA B. CRISTAL,(951) 688-8024,3615 CROWELL AVE.,RIVERSIDE,CA,92504,RIVERSIDE,18,6,CLOSED,6/9/09,2/12/16,1/8/16,1,1,0,2
RESIDENTIAL CARE ELDERLY,198601706,BALDWIN GRACIOUS LIVING,JHED HEALTH CARE LLC,DELFIN M. PEGOLLO,(626) 252-4803,14218 ROCKENBACH ST,BALDWIN PARK,CA,91706,LOS ANGELES,28,6,LICENSED,6/21/14,,7/1/15,0,1,3,4
